Gen,Resource,Stamp,TimeStamp_Start,TimeStamp_End,Duration,Indiv_id
371,1,STEP,-1082791196,-1077318996,5472200,-1
372,1,STEP,-1075010796,-1072341296,2669500,-1
373,1,STEP,-1069874196,-1067175396,2698800,-1
374,1,STEP,-1066482396,-1064486496,1995900,-1
375,1,STEP,-1063890996,-1059233996,4657000,-1
376,1,STEP,-1058704396,-1057286196,1418200,-1
377,1,STEP,-1057050996,-1055684096,1366900,-1
378,1,STEP,-1055430496,-1054152596,1277900,-1
379,1,STEP,-1053927696,-1052716496,1211200,-1
380,1,STEP,-1052462996,-1050587896,1875100,-1
381,1,STEP,-1050318196,-1049194496,1123700,-1
382,1,STEP,-1048894996,-1047356596,1538400,-1
383,1,STEP,-1046909496,-1044619296,2290200,-1
384,1,STEP,-1044123596,-1042787196,1336400,-1
385,1,STEP,-1042411796,-1040482696,1929100,-1
386,1,STEP,-1039962196,-1038315396,1646800,-1
387,1,STEP,-1038018396,-1036674096,1344300,-1
388,1,STEP,-1036388396,-1035073596,1314800,-1
389,1,STEP,-1034711896,-1033232896,1479000,-1
390,1,STEP,-1032828596,-1030891196,1937400,-1
391,1,STEP,-1030375696,-1028037296,2338400,-1
392,1,STEP,-1027623496,-1026306596,1316900,-1
393,1,STEP,-1026068696,-1024635496,1433200,-1
394,1,STEP,-1024267796,-1022355996,1911800,-1
395,1,STEP,-1021936196,-1019819096,2117100,-1
396,1,STEP,-1019446696,-1017323396,2123300,-1
397,1,STEP,-1016992696,-1015405596,1587100,-1
398,1,STEP,-1014985496,-1012451596,2533900,-1
399,1,STEP,-1012048896,-1010319896,1729000,-1
400,1,STEP,-1009908896,-1007495496,2413400,-1
401,1,STEP,-1007096396,-1004999496,2096900,-1
402,1,STEP,-1004624596,-1002243296,2381300,-1
403,1,STEP,-1001876996,-999519396,2357600,-1
404,1,STEP,-999148096,-996984296,2163800,-1
405,1,STEP,-996704796,-994604696,2100100,-1
406,1,STEP,-994209096,-992408396,1800700,-1
407,1,STEP,-992155496,-990773096,1382400,-1
408,1,STEP,-990431996,-988305196,2126800,-1
409,1,STEP,-987931696,-986289696,1642000,-1
410,1,STEP,-985922996,-984054696,1868300,-1
411,1,STEP,-983723896,-981731396,1992500,-1
412,1,STEP,-980847496,-978372296,2475200,-1
413,1,STEP,-978008096,-976417196,1590900,-1
414,1,STEP,-975897996,-974494096,1403900,-1
415,1,STEP,-974220996,-973027496,1193500,-1
416,1,STEP,-972748696,-971407696,1341000,-1
417,1,STEP,-971130096,-969737096,1393000,-1
418,1,STEP,-969430296,-968075196,1355100,-1
419,1,STEP,-967799296,-966209196,1590100,-1
420,1,STEP,-965176896,-963849396,1327500,-1
421,1,STEP,-963451296,-961623496,1827800,-1
422,1,STEP,-961218896,-959725296,1493600,-1
423,1,STEP,-959471196,-958406996,1064200,-1
424,1,STEP,-958205396,-956948396,1257000,-1
425,1,STEP,-956729396,-955379396,1350000,-1
426,1,STEP,-955135896,-953826596,1309300,-1
427,1,STEP,-953575996,-952075596,1500400,-1
428,1,STEP,-951744396,-949811296,1933100,-1
429,1,STEP,-949282896,-946921496,2361400,-1
430,1,STEP,-946381796,-944555796,1826000,-1
431,1,STEP,-944251096,-943055696,1195400,-1
432,1,STEP,-942574196,-940537096,2037100,-1
433,1,STEP,-939012096,-936153096,2859000,-1
434,1,STEP,-932897696,-930531396,2366300,-1
435,1,STEP,-930028996,-927687896,2341100,-1
436,1,STEP,-926708296,-924310796,2397500,-1
437,1,STEP,-922454496,-917063496,5391000,-1
438,1,STEP,-915822296,-912880296,2942000,-1
439,1,STEP,-912182596,-910191896,1990700,-1
440,1,STEP,-909863596,-908683496,1180100,-1
441,1,STEP,-908319096,-906363896,1955200,-1
442,1,STEP,-905930496,-903531096,2399400,-1
443,1,STEP,-902868796,-897325896,5542900,-1
444,1,STEP,-896786896,-894568496,2218400,-1
445,1,STEP,-891110396,-887749296,3361100,-1
446,1,STEP,-887350396,-885354996,1995400,-1
447,1,STEP,-884270196,-880394396,3875800,-1
448,1,STEP,-878950696,-876716996,2233700,-1
449,1,STEP,-876389996,-874915596,1474400,-1
450,1,STEP,-874514296,-872315196,2199100,-1
451,1,STEP,-870926996,-867510496,3416500,-1
452,1,STEP,-866067796,-862824996,3242800,-1
453,1,STEP,-862094396,-859454396,2640000,-1
454,1,STEP,-859033796,-857653896,1379900,-1
455,1,STEP,-856732696,-855600796,1131900,-1
456,1,STEP,-855211696,-852404096,2807600,-1
457,1,STEP,-851924296,-849860096,2064200,-1
458,1,STEP,-849604396,-848351496,1252900,-1
459,1,STEP,-848161496,-846951496,1210000,-1
460,1,STEP,-846753896,-845172796,1581100,-1
461,1,STEP,-844933696,-843708696,1225000,-1
462,1,STEP,-843532296,-842025996,1506300,-1
463,1,STEP,-841756896,-840288296,1468600,-1
464,1,STEP,-840086496,-839011796,1074700,-1
465,1,STEP,-838822896,-837550896,1272000,-1
466,1,STEP,-837355496,-836188396,1167100,-1
467,1,STEP,-835928196,-834611396,1316800,-1
468,1,STEP,-834385096,-833075596,1309500,-1
469,1,STEP,-832716396,-831127396,1589000,-1
470,1,STEP,-830725396,-829155696,1569700,-1
471,1,STEP,-828841996,-827156896,1685100,-1
472,1,STEP,-826499996,-825126996,1373000,-1
473,1,STEP,-824757196,-823243296,1513900,-1
474,1,STEP,-822766996,-821084696,1682300,-1
475,1,STEP,-820734296,-819328396,1405900,-1
476,1,STEP,-819000596,-816972496,2028100,-1
477,1,STEP,-816616696,-813772596,2844100,-1
